YEAR,STATE_NAME,STRUCTURE_NUMBER,OWNER_AGENCY,ELEMENT_CATEGORY,PARENT_ELEMENT_NUMBER,PARENT_ELEMENT_NAME,ELEMENT_NUMBER,ELEMENT_NAME,ELEMENT_UNIT,TOTAL_QUANTITY,CONDITION_STATE_1,CS_PERCENT_1,CONDITION_STATE_2,CS_PERCENT_2,CONDITION_STATE_3,CS_PERCENT_3,CONDITION_STATE_4,CS_PERCENT_4,HI
2024,'41 - Oregon',470226000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2300,2233,97,67,2,0,0,0,0,99.04
2024,'41 - Oregon',470230000 00172,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',3741,3530,94,180,4,31,0,0,0,97.86
2024,'41 - Oregon',470230000 00172,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',1392,1392,100,0,0,0,0,0,0,100
2024,'41 - Oregon',470232000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',1600,1160,72,440,27,0,0,0,0,90.93
2024,'41 - Oregon',470234000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',1036,1004,96,25,2,7,0,0,0,98.75
2024,'41 - Oregon',470234000      ,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',2700,2638,97,52,1,10,0,0,0,99.12
2024,'41 - Oregon',470238         ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2400,2370,98,30,1,0,0,0,0,99.59
2024,'41 - Oregon',470240000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',1288,1186,92,102,7,0,0,0,0,97.39
2024,'41 - Oregon',470240000      ,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',2760,2668,96,92,3,0,0,0,0,98.9
2024,'41 - Oregon',470242000      ,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',4600,2022,43,2378,51,200,4,0,0,80.03
2024,'41 - Oregon',470244000 00009,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',5237,4935,94,300,5,2,0,0,0,98.08
2024,'41 - Oregon',470249         ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',9100,8650,95,446,4,4,0,0,0,98.35
2024,'41 - Oregon',470250000F00009,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',8900,8900,100,0,0,0,0,0,0,100
2024,'41 - Oregon',470250000F00009,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',4653,4513,96,140,3,0,0,0,0,99.01
2024,'41 - Oregon',470250000F00009,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',4400,4370,99,0,0,30,0,0,0,99.54
2024,'41 - Oregon',470252         ,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',13032,11932,91,1000,7,100,0,0,0,96.95
2024,'41 - Oregon',470256000      ,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',1200,940,78,260,21,0,0,0,0,92.85
2024,'41 - Oregon',470258000 00320,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',6950,6750,97,200,2,0,0,0,0,99.05
2024,'41 - Oregon',470260000 16969,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',17160,17160,100,0,0,0,0,0,0,100
2024,'41 - Oregon',470414000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',6120,4764,77,154,2,1202,19,0,0,86.01
2024,'41 - Oregon',470415000 00000,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',4140,2345,56,1015,24,780,18,0,0,79.29
2024,'41 - Oregon',470420000 00111,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',5100,0,0,2000,39,3100,60,0,0,46.33
2024,'41 - Oregon',470423         ,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',6150,6143,99,5,0,2,0,0,0,99.95
2024,'41 - Oregon',470425000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',3800,200,5,3300,86,300,7,0,0,66.05
2024,'41 - Oregon',470430000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2200,390,17,710,32,1100,50,0,0,55.85
2024,'41 - Oregon',470435000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',3300,3280,99,20,0,0,0,0,0,99.8
2024,'41 - Oregon',470440000 00043,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2890,2683,92,207,7,0,0,0,0,97.64
2024,'41 - Oregon',470445         ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2635,2607,98,20,0,8,0,0,0,99.55
2024,'41 - Oregon',470604072 00557,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',28710,25755,89,1655,5,1300,4,0,0,95.06
2024,'41 - Oregon',470606000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',8100,7186,88,910,11,4,0,0,0,96.26
2024,'41 - Oregon',470608000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',16700,0,0,13290,79,3410,20,0,0,60.06
2024,'41 - Oregon',470610000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2200,2170,98,30,1,0,0,0,0,99.55
2024,'41 - Oregon',470612000 00008,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',643,640,99,3,0,0,0,0,0,99.85
2024,'41 - Oregon',470612000 00008,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',2268,2257,99,11,0,0,0,0,0,99.84
2024,'41 - Oregon',470614000      ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',1900,1873,98,27,1,0,0,0,0,99.53
2024,'41 - Oregon',470618000 00000,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2400,2146,89,254,10,0,0,0,0,96.51
2024,'41 - Oregon',471111000 16968,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',9442,3632,38,4860,51,950,10,0,0,76.27
2024,'41 - Oregon',47B003006600000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',415,415,100,0,0,0,0,0,0,100
2024,'41 - Oregon',47B003006600000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',2020,1520,75,500,24,0,0,0,0,91.83
2024,'41 - Oregon',47B004000000000,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',864,864,100,0,0,0,0,0,0,100
2024,'41 - Oregon',47B005000000000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',315,315,100,0,0,0,0,0,0,100
2024,'41 - Oregon',47B005000000000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',1830,1828,99,2,0,0,0,0,0,99.96
2024,'41 - Oregon',47B007003200000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',356,356,100,0,0,0,0,0,0,100
2024,'41 - Oregon',47B007003200000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',2136,2136,100,0,0,0,0,0,0,100
2024,'41 - Oregon',47B010000000000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',474,233,49,241,50,0,0,0,0,83.22
2024,'41 - Oregon',47B12 000000000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',1900,0,0,1900,100,0,0,0,0,67
2024,'41 - Oregon',47B12 000000000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',1920,1795,93,111,5,14,0,0,0,97.6
2024,'41 - Oregon',47C100A57700000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',3800,3700,97,100,2,0,0,0,0,99.13
2024,'41 - Oregon',47C200000000000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',3500,100,2,1359,38,2041,58,0,0,48.12
