YEAR	STATE_NAME	STRUCTURE_NUMBER	OWNER_AGENCY	ELEMENT_CATEGORY	PARENT_ELEMENT_NUMBER	PARENT_ELEMENT_NAME	ELEMENT_NUMBER	ELEMENT_NAME	ELEMENT_UNIT	TOTAL_QUANTITY	CONDITION_STATE_1	CS_PERCENT_1	CONDITION_STATE_2	CS_PERCENT_2	CONDITION_STATE_3	CS_PERCENT_3	CONDITION_STATE_4	CS_PERCENT_4	HI
2025	'41 - Oregon'	09403R064C00930	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	303	0	0	303	100	0	0	0	0	67
2025	'41 - Oregon'	09422 006 18724	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1160	1000	86	160	13	0	0	0	0	95.45
2025	'41 - Oregon'	09454 141 00471	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1064	958	90	106	9	0	0	0	0	96.71
2025	'41 - Oregon'	09511 006C29868	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1120	1079	96	40	3	1	0	0	0	98.76
2025	'41 - Oregon'	09520 006 20790	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	3090	2940	95	150	4	0	0	0	0	98.4
2025	'41 - Oregon'	09520A006 20788	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2205	2101	95	100	4	4	0	0	0	98.38
2025	'41 - Oregon'	09524 006 21206	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1064	1044	98	20	1	0	0	0	0	99.38
2025	'41 - Oregon'	09539 006C17798	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1134	1070	94	64	5	0	0	0	0	98.14
2025	'41 - Oregon'	09540 006C18040	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1310	1270	96	40	3	0	0	0	0	98.99
2025	'41 - Oregon'	09541 333 01250	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1217	810	66	407	33	0	0	0	0	88.96
2025	'41 - Oregon'	09565 144 00669	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1476	1328	89	147	9	1	0	0	0	96.67
2025	'41 - Oregon'	09568 006C19946	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1212	1182	97	30	2	0	0	0	0	99.18
2025	'41 - Oregon'	09569 144 00722	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2151	1934	89	215	9	2	0	0	0	96.64
2025	'41 - Oregon'	09577 320 04007	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1150	1118	97	32	2	0	0	0	0	99.08
2025	'41 - Oregon'	09579 006C19854	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1064	1054	99	10	0	0	0	0	0	99.69
2025	'41 - Oregon'	09584 006C20287	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1140	1092	95	48	4	0	0	0	0	98.61
2025	'41 - Oregon'	09632 006 26185	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1662	1656	99	6	0	0	0	0	0	99.88
