YEAR,STATE_NAME,STRUCTURE_NUMBER,OWNER_AGENCY,ELEMENT_CATEGORY,PARENT_ELEMENT_NUMBER,PARENT_ELEMENT_NAME,ELEMENT_NUMBER,ELEMENT_NAME,ELEMENT_UNIT,TOTAL_QUANTITY,CONDITION_STATE_1,CS_PERCENT_1,CONDITION_STATE_2,CS_PERCENT_2,CONDITION_STATE_3,CS_PERCENT_3,CONDITION_STATE_4,CS_PERCENT_4,HI
2025,'41 - Oregon',26T01 000 00000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',560,0,0,560,100,0,0,0,0,67
2025,'41 - Oregon',26T03 000 00000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1035,0,0,900,86,135,13,0,0,62.57
2025,'41 - Oregon',26T07 000 00000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',186,0,0,184,98,2,1,0,0,66.63
2025,'41 - Oregon',26T10 000000000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',688,0,0,688,100,0,0,0,0,67
2025,'41 - Oregon',471006072 01125,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',308,208,67,100,32,0,0,0,0,89.29
2025,'41 - Oregon',47C200000000000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',372,0,0,372,100,0,0,0,0,67
2025,'41 - Oregon',49B03 000 00000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',236,0,0,236,100,0,0,0,0,67
2025,'41 - Oregon',49B07 000      ,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',135,0,0,135,100,0,0,0,0,67
2025,'41 - Oregon',51C01 000 00001,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',420,420,100,0,0,0,0,0,0,100
2025,'41 - Oregon',51C03 000 00001,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',414,405,97,9,2,0,0,0,0,99.28
2025,'41 - Oregon',51C08 000 00001,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',115,105,91,10,8,0,0,0,0,97.13
2025,'41 - Oregon',51C21 062300001,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',330,0,0,264,80,66,20,0,0,60.2
2025,'41 - Oregon',59C006130800011,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',205,0,0,185,90,20,9,0,0,63.68
2025,'41 - Oregon',59C902000000002,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',192,0,0,192,100,0,0,0,0,67
2025,'41 - Oregon',61074 000 00070,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',138,21,15,102,73,15,10,0,0,68.33
2025,'41 - Oregon',63B011000000000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',114,89,78,25,21,0,0,0,0,92.76
2025,'41 - Oregon',63B015000000000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',120,0,0,120,100,0,0,0,0,67
2025,'41 - Oregon',67T006000000000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',96,0,0,96,100,0,0,0,0,67
2025,'41 - Oregon',E6099C015 00009,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1532,0,0,1447,94,85,5,0,0,65.11
2025,'41 - Oregon',W6099C015 00009,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1684,0,0,1602,95,82,4,0,0,65.34
