initial_beta,lcc_values
3.606880956971916,1687.6536865234375
2.6171080262009703,3280.26025390625
3.5983304398009164,1761.596923828125
3.6118639221896442,1597.343994140625
3.9723437028067408,1012.53076171875
3.923908826972468,1028.465087890625
3.4741115696331932,1929.172607421875
3.4999349281693193,1903.8970947265625
2.507582728293265,3592.7705078125
3.0150720896688403,2766.078857421875
3.047478231890638,2963.555419921875
4.013306918378544,955.9274291992188
3.4964940432848453,2072.7529296875
2.5966028760082156,3343.823486328125
2.825297798879491,3329.943115234375
3.819613695845718,1212.573974609375
3.000039819326742,2837.654296875
4.199918349570861,864.2753295898438
3.8565010989547464,1158.38916015625
3.6030946426872985,1375.374267578125
2.677930634651964,3052.079345703125
4.199923802431346,864.2734985351562
2.506416790615366,3586.591064453125
3.0526529542027676,2935.01708984375
2.5155064109012693,3543.47216796875
3.892253655469458,985.7999267578125
3.6225876550690526,1681.5733642578125
2.7091924130848657,2961.863037109375
4.150825290846849,875.0178833007812
3.4685152801282153,1948.93994140625
3.3492774894960253,2165.347900390625
2.501284367878106,3612.32666015625
3.025234668684256,2733.98046875
3.858486020892068,1134.634033203125
4.155334241321468,883.3209228515625
3.588742480810809,1704.343017578125
2.500290551315353,3615.82275390625
2.8368322831188153,7818.5439453125
4.042225452072642,935.5896606445312
2.5143463597102014,3548.810546875
3.00003635117292,2837.626708984375
3.9233228359018364,1066.4315185546875
4.100778186612243,910.9556884765625
3.053910951680634,2933.852294921875
4.199513964792937,864.4325561523438
2.9912035684102043,2859.22314453125
3.4720108480053202,1996.9825439453125
3.576912633280305,1747.744140625
3.0211620052411763,5034.14453125
4.190554782320039,868.022705078125
4.098140065239346,904.8886108398438
3.499574810009529,1904.2960205078125
2.5005731570650016,3614.758056640625
2.8262447798714736,7909.68310546875
3.4167353526573696,1888.944091796875
3.8796972344237886,1076.310302734375
4.1795502779835045,872.6249389648438
4.1430499632270745,889.515869140625
4.1999669888640785,864.2557983398438
3.888770053794161,1111.161865234375
3.515408780230358,1848.6141357421875
3.5000013032212594,1903.8970947265625
3.27363283157017,3678.067626953125
3.504247067988721,1889.5684814453125
4.182130309944506,868.1719970703125
2.606302595350747,3338.62890625
3.6266624697530685,1672.18408203125
3.509497210425762,1873.4432373046875
3.311202645103392,2151.706787109375
3.500128562474937,1903.4825439453125
3.407760570053418,2061.999755859375
3.6079332635476717,1723.3822021484375
3.440921808490251,1999.498291015625
3.502145814917582,1595.417236328125
3.529695720576574,1908.1787109375
3.018901568159479,2756.217529296875
3.452839481974567,1966.20849609375
2.8301358676487087,3484.52587890625
2.9650006657304857,2924.771240234375
3.0131882072526293,2768.542724609375
3.500000041398727,1903.9013671875
3.000379913089021,2835.79443359375
3.5000021101368985,1903.89453125
3.799957252418083,1251.8526611328125
3.420071698274226,2038.148681640625
3.4991773541231335,1905.1014404296875
3.5178618294034876,1813.388916015625
3.9621240426610225,1022.9227294921875
3.9889567051863306,992.9968872070312
3.500069921557482,1903.6737060546875
3.051102689715372,2885.722900390625
3.506156815231315,1884.0537109375
4.194068744665265,866.6033935546875
3.0004713351149657,2835.308349609375
2.501000330298998,3612.525634765625
4.050541162815702,930.7362060546875
3.5033083997588976,1888.0162353515625
4.104981420828891,910.0535888671875
2.7668677891438405,3637.488037109375
2.71504478902348,3092.500732421875
4.199512350691373,864.4346313476562
